Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,SPRING,Location
1912,0.27,3.3,5.73,6.27,12.38,14.71,15.82,12.9,7.99,6.56,0.89,0.75,7.3,8.12,liestal
1913,0.71,-0.08,5.4,6.84,11.29,14.29,13.62,14.83,11.85,9.21,6.03,0.26,7.85,7.84,liestal
1914,-4.8,1.56,4.18,9.29,9.72,13.37,15.05,15.75,12.02,7.47,2.28,2.37,7.36,7.73,liestal
1915,-0.55,-0.14,2.05,5.84,13.62,16.64,15.66,14.72,10.93,5.74,0.77,4.17,7.45,7.17,liestal
1916,2.16,1.16,3.69,7.18,12.38,12.37,15.48,15.51,10.7,7.94,3.34,1.11,7.75,7.75,liestal
1917,-2.84,-2.99,0.9,4.02,14.49,16.83,16.38,15.13,14.64,6.23,2.88,-4.3,6.78,6.47,liestal
1918,-0.53,0.2,3.19,7.08,13.09,12.6,16.4,15.86,12.85,6.3,2.97,2.78,7.73,7.79,liestal
1919,-0.48,-1,3.11,4.16,11.39,15.19,13.61,17.92,14.69,4.73,1.41,0.98,7.14,6.22,liestal
1920,2,1.95,5.38,7.89,14.07,14.58,16.48,14.44,12.81,7.8,2.06,-0.06,8.28,9.12,liestal
1921,2.91,0.02,4.7,6.33,12.72,15.26,19.22,16.36,14.13,10.42,0.38,0.26,8.56,7.91,liestal
1922,-1.44,-0.18,3.79,5.25,13.86,15.39,15.22,15.53,10.56,5.99,1.52,0.11,7.13,7.63,liestal
1923,-1,2.35,3.98,7.22,11.31,11.42,19.08,17.03,12.54,10.13,2.82,-0.27,8.05,7.5,liestal
1924,-2.16,-2.56,2.92,7.3,12.78,14.63,16.43,13.01,12.76,8.39,3.48,-0.05,7.24,7.67,liestal
1925,0.93,2.24,0.58,7.31,11.82,15.65,16.16,15.52,10.52,8.67,1.58,0.1,7.59,6.57,liestal
1926,-0.57,4.48,4.04,8.7,9.9,12.43,15.92,16.16,15,8.74,5.39,-1.45,8.23,7.55,liestal
1927,-0.04,-0.27,4.28,7.79,12.55,14.79,16.64,15.27,12.92,7.74,3.56,-0.74,7.87,8.21,liestal
1928,1.24,1.89,4.13,7.36,9.58,15.14,20.04,17.63,12.8,7.95,4.91,-0.58,8.51,7.02,liestal
1929,-4.93,-6.74,3.1,4.99,12.23,15.73,17.78,16.15,15.74,9.02,3.88,2.88,7.48,6.77,liestal
1930,1.58,-0.47,4.55,8.01,10.41,17.56,15.55,15.85,13.57,8.16,5.89,0.5,8.43,7.66,liestal
1931,-0.64,-1.53,0.74,6.39,13.85,17.2,15.83,14.31,8.82,7.1,4.76,-1.42,7.12,6.99,liestal
1932,-0.09,-4.03,1.3,5.9,10.67,13.92,15.85,18.49,15.63,8.23,3.99,0.37,7.52,5.96,liestal
1933,-3.09,-0.04,4.23,8,10.32,12.5,17.64,17.57,13.64,8.58,2.43,-4.41,7.28,7.52,liestal
1934,-1.04,-0.86,3.28,9.84,13.67,15.47,17.89,15.22,14.43,8.1,2.38,3.69,8.51,8.93,liestal
