year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,SPRING,Location
1920,-1.83,0.39,7.5,11.44,15.56,22,23.89,23.78,20.44,16.22,7.72,4.06,12.61,11.5,washingtondc
1921,2.56,3.89,13.06,15.11,16.83,23.44,26.28,22.67,23.56,13.89,8.61,3.28,14.44,15,washingtondc
1922,0,3.67,7.44,13.11,19.33,23.61,24.78,22.83,21.06,15.22,8.83,3.11,13.56,13.28,washingtondc
1923,2.67,0.33,7.44,12,17.44,24.22,24.28,23.56,20.89,13.39,7.28,7.22,13.39,12.28,washingtondc
1924,1.67,1.22,5.89,11.06,15.56,21.83,23.89,23.78,17.94,14.11,7.78,2.44,12.28,10.83,washingtondc
1925,0.5,6.11,8,13.83,15.89,25.22,24.89,22.78,22.67,11.11,6.83,2.78,13.39,12.56,washingtondc
1926,1,2.5,4.5,10.61,17.94,20.61,24.83,24.67,20.56,14,7.28,1,12.5,11,washingtondc
1927,1.11,5.61,8.67,11.06,17.78,20.33,24.67,21.11,21.17,15.78,10.56,3.94,13.5,12.5,washingtondc
1928,2.17,3.11,6.72,11.06,17.28,21.67,25.61,25,18.28,15.5,9.67,4,13.33,11.67,washingtondc
1929,1.61,1.67,10.11,14.22,18.06,22.72,24.94,23.56,21.22,13.11,8.67,3.56,13.61,14.11,washingtondc
1930,2,5.5,7.22,11.78,19.61,23.94,26.89,24.89,24.44,13.44,8.17,2.06,14.17,12.89,washingtondc
1931,2.78,4.11,5.17,12.33,18.39,22.94,26.44,24.22,23.39,16.22,12.22,6.78,14.56,11.94,washingtondc
1932,8.22,6.06,4.44,11.44,17.89,22.89,25.22,25.44,21.28,14.44,7.06,4.22,14.06,11.28,washingtondc
1933,5.89,3.56,6.11,13.17,19.56,23.72,24.5,24.44,22.11,13.61,7.22,3.67,13.94,12.94,washingtondc
